embedding_model,folder,Top-1 (Prozent),Top-3 (Prozent),Top-1+Top-3 (Prozent),AvgSimilarity
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data50,95.7,4.3,100.0,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data100,95.7,4.3,100.0,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data500,91.3,2.2,93.5,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data1000,91.3,2.2,93.5,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data1500,87.0,6.5,93.5,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data2000,87.0,6.5,93.5,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data2500,87.0,6.5,93.5,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data3000,84.8,8.7,93.5,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data3500,84.8,4.3,89.1,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data4000,84.8,4.3,89.1,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data4500,84.8,4.3,89.1,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data5000,84.8,4.3,89.1,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data5500,84.8,4.3,89.1,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data6000,76.1,13.0,89.1,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data6500,73.9,13.0,87.0,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data7000,71.7,15.2,87.0,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data7500,67.4,17.4,84.8,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data8000,67.4,17.4,84.8,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data8500,67.4,17.4,84.8,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data9000,67.4,15.2,82.6,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data9500,67.4,15.2,82.6,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data10000,67.4,15.2,82.6,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data10500,67.4,15.2,82.6,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data11000,67.4,15.2,82.6,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data11500,67.4,15.2,82.6,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data12000,65.2,17.4,82.6,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data12500,65.2,17.4,82.6,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data13000,65.2,17.4,82.6,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data13500,65.2,13.0,78.3,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data14000,65.2,13.0,78.3,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data14500,65.2,13.0,78.3,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data15000,65.2,13.0,78.3,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data15500,65.2,13.0,78.3,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data16000,65.2,13.0,78.3,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data16500,65.2,13.0,78.3,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data17000,65.2,8.7,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data17500,65.2,8.7,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data18000,63.0,10.9,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data18500,60.9,13.0,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data19000,60.9,13.0,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data19500,63.0,10.9,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data20000,63.0,10.9,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data20500,60.9,13.0,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data21000,63.0,10.9,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data21500,63.0,10.9,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data22000,63.0,10.9,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data22500,63.0,10.9,73.9,0.6403
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,data22842,60.9,13.0,73.9,0.6403
