Datei,Top-1,Top-3,Tests
316_NVD-CWE-noinfo_CVE-2024-29034_(0_100).rb,1/1,1/1,1
645_CWE-20_CVE-2024-4941_(0_100).py,1/1,1/1,1
165_CWE-22_CVE-2024-24756_(0_100).js,1/1,1/1,1
159_NVD-CWE-noinfo_CVE-2024-24749_(0_100).java,1/1,1/1,1
189_CWE-79_CVE-2024-25122_(0_100).rb,1/1,1/1,1
553_NVD-CWE-noinfo_CVE-2024-36404_(0_100).java,1/1,1/1,1
311_NVD-CWE-noinfo_CVE-2024-29023_(0_100).php,1/1,1/1,1
291_NVD-CWE-noinfo_CVE-2024-28195_(0_100).ts,0/1,1/1,1
16_CWE-1333_CVE-2021-4437_(0_100).ts,0/1,1/1,1
236_NVD-CWE-noinfo_CVE-2024-27102_(0_100).go,0/1,0/1,1
