Datei,Top-1,Top-3,Tests
605_NVD-CWE-noinfo_CVE-2024-39903_(0_80).py,1/1,1/1,1
355_CWE-23_CVE-2024-3025_(0_80).js,1/1,1/1,1
195_NVD-CWE-noinfo_CVE-2024-25410_(0_80).php,1/1,1/1,1
390_NVD-CWE-noinfo_CVE-2024-31455_(0_80).go,1/1,1/1,1
306_NVD-CWE-noinfo_CVE-2024-28866_(0_80).java,1/1,1/1,1
112_CWE-79_CVE-2024-21515_(0_80).php,1/1,1/1,1
116_NVD-CWE-noinfo_CVE-2024-21583_(0_80).go,1/1,1/1,1
624_NVD-CWE-noinfo_CVE-2024-40631_(0_80).ts,1/1,1/1,1
263_NVD-CWE-noinfo_CVE-2024-27930_(0_80).php,0/1,1/1,1
236_NVD-CWE-noinfo_CVE-2024-27102_(0_80).go,0/1,0/1,1
