embedding_model,lines_folder,Top-1 (%),Top-3 (%),AvgSimilarity
intfloat/e5-large-v2,20,80.0,20.0,1.0
intfloat/e5-large-v2,100,70.0,30.0,1.0
intfloat/e5-large-v2,200,80.0,20.0,1.0
intfloat/e5-large-v2,300,70.0,30.0,1.0
intfloat/e5-large-v2,400,70.0,30.0,1.0
intfloat/e5-large-v2,500,70.0,30.0,1.0
intfloat/multilingual-e5-large,20,80.0,20.0,1.0
intfloat/multilingual-e5-large,100,70.0,30.0,1.0
intfloat/multilingual-e5-large,200,60.0,40.0,1.0
intfloat/multilingual-e5-large,300,50.0,50.0,1.0
intfloat/multilingual-e5-large,400,70.0,30.0,1.0
intfloat/multilingual-e5-large,500,40.0,60.0,1.0
WhereIsAI/UAE-Large-V1,20,70.0,30.0,1.0
WhereIsAI/UAE-Large-V1,100,50.0,40.0,1.0
WhereIsAI/UAE-Large-V1,200,70.0,30.0,1.0
WhereIsAI/UAE-Large-V1,300,60.0,40.0,1.0
WhereIsAI/UAE-Large-V1,400,60.0,40.0,1.0
WhereIsAI/UAE-Large-V1,500,40.0,60.0,1.0
BAAI/bge-large-en-v1.5,20,80.0,20.0,1.0
BAAI/bge-large-en-v1.5,100,80.0,10.0,1.0
BAAI/bge-large-en-v1.5,200,70.0,20.0,1.0
BAAI/bge-large-en-v1.5,300,70.0,20.0,1.0
BAAI/bge-large-en-v1.5,400,70.0,20.0,1.0
BAAI/bge-large-en-v1.5,500,60.0,30.0,1.0
microsoft/graphcodebert-base,20,90.0,0.0,0.9932
microsoft/graphcodebert-base,100,70.0,20.0,0.9932
microsoft/graphcodebert-base,200,70.0,30.0,0.9959
microsoft/graphcodebert-base,300,70.0,30.0,0.9959
microsoft/graphcodebert-base,400,70.0,30.0,0.9959
microsoft/graphcodebert-base,500,70.0,30.0,0.9959
